SSver,display,suffix,maxn,trial,d1obj1,d1obj2,d1obj3,d1obj4,d1obj5,d1obj6,d2obj1,d2obj2,d2obj3,d2obj4,d2obj5,d2obj6,cue,tarLoc,change,blanks,proc1,proc2
v02NO2,mainIntro,,,,,,,,,,,,,,,,,,,,a0INTNO.jpg,a0SCRNO.jpg
v02NO2,main,.jpg,96,1,26421538.thl,ABOWLCARV,AMANJUI2,Abathingsui10,Alei23,football,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,Adeepfryer7,blank,,
v02NO2,main,.jpg,96,2,26421583.thl,ABOX8,AMEAT2,Abeany2,Alifeves2,fortune-cookie,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,Awhistl15,blank,,
v02NO2,main,.jpg,96,3,26422598.thl,ABRAIN3,AMEATGR14,Abedpan7,Alighthouse6,fullbucket,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,Alogholder,blank,,
v02NO2,main,.jpg,96,4,26423296.thl,ABREAD,AMECHHAN3,Abeermug11,Alintbrush2,gingerroot,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,tomatoslice,blank,,
v02NO2,main,.jpg,96,5,26423477.thl,ABREAD9,AMECHSOCK,Abellcookiec3,Alipstick3,glassjuiceN,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,ATISSUE,blank,,
v02NO2,main,.jpg,96,6,26423786.thl,ABREADLOA,AMEDCONTA,Abells3,Alock34,golf-ball,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,ABATHTAP,blank,,
v02NO2,main,.jpg,96,7,26423812.thl,ABRIDGE3,AMICRO67,Aberries5,Amatplate,gondola,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,Apostalscale2,blank,,
v02NO2,main,.jpg,96,8,26424075.thl,ABROCHETT,AMICROS20,Abeverage11,Ameatcleaver2,greenbeans,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,Ainstrument3,blank,,
v02NO2,main,.jpg,96,9,26424133.thl,ABROOCH41,AMICROWA2,Abeverageingl,Amilkcrate2,grenade,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,26437107.thl,blank,,
v02NO2,main,.jpg,96,10,26424291.thl,ABROWNBAG,AMILKJUG,Abicyclehand5,Amirror69,gumballmachine,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,APLANMOD,blank,,
v02NO2,main,.jpg,96,11,26424443.thl,ABRUSH19,AMILPANS2,Abicyclerepa3,Amistingwate3,gymbars2,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,Abasketandch2,blank,,
v02NO2,main,.jpg,96,12,26424478.thl,ABUGLE2,AMINIHAMP,Abicycleshoe,Amousepad,gymbench,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,8060342.thl,blank,,
v02NO2,main,.jpg,96,13,26424784.thl,ABUILDAR4,AMINITRE7,Abikinitop5,Anailbrush3,gymvaulting,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,ASTAPLER,blank,,
v02NO2,main,.jpg,96,14,26425323.thl,ABUILDI12,AMIRRORT2,Abinder6,Anailscissors,gymvaulting2,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,AWOODSPO3,blank,,
v02NO2,main,.jpg,96,15,26425370.thl,ABULDOZER,AMIXBOAR2,Abinocular2,Anoismake,hairbarette,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,scooter,blank,,
v02NO2,main,.jpg,96,16,26425788.thl,ABUSINEST,AMIXER1,Abisontoy,Anotebook27,hammer01,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,Atoydrill4,blank,,
v02NO2,main,.jpg,96,17,26426317.thl,ACABINE14,AMODELSA4,Ablackcamera4,Aoilcan11,headcomb1,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,Acomputerkey2,blank,,
v02NO2,main,.jpg,96,18,26426803.thl,ACAESALAD,AMOSQAMBE,Ablackma3,Aornament89,hockeypuck,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,ABABYSPOO,blank,,
v02NO2,main,.jpg,96,19,26427609.thl,ACAMPFIRE,AMOUSETOY,Abloodorange,Aornamentalt5,hottub,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,ACOCKSPA4,blank,,
